x,y,z,color
-77.80838072616075,2918.1559828445866,520.578119147938,1
-154.09826315068005,2820.333815847913,501.7551948861873,1
-232.7765499693436,2719.4491340580007,482.3429820636386,1
-152.41293452478374,2822.4948166654176,502.1710142854739,1
-264.06128186457545,2679.3345058708437,474.624132325002,1
-325.6603553758133,2600.349525630266,459.42585624372464,1
-589.7120902009683,2261.771039480627,394.27664316536857,1
-674.6385670241698,2152.8746598531206,373.322820846373,1
-761.803011720809,2041.108661606589,351.81682701467895,1
-841.5427312854544,1938.86296511809,332.14272798190655,1
-905.4212840769044,1856.9551385481186,316.38203832121235,1
-1020.3670314965649,1709.5667596137505,288.02159222888486,1
-1091.99493390734,1617.7223838122704,270.34891350323574,1
-1204.3086873865095,1473.7088606595414,242.63785657005755,1
-1325.7006697814777,1318.0548421119745,212.68693754924286,1
-1198.3139069186022,1481.3956258950261,244.1169425920458,1
-1304.8290842679717,1344.8172863405073,217.8365623862201,1
-1495.1873960286193,1100.7316753726484,170.86965182097615,1
-1733.1291526769546,795.6325257263723,112.16252681615327,1
-1635.211092334831,921.187272258516,136.32174918093892,1
-1960.9570415694252,503.5018121184569,55.950786005300756,1
-1884.1740929780715,601.956209751482,74.89536397550387,1
-2157.1159891120296,251.97837657784612,7.552690536845091,1
-2166.3605749599715,240.1245711728218,5.271783374362144,1
-2401.4189604575936,-61.277396025998314,-52.723930430658555,1
-2521.084071877499,-214.7171463700265,-82.24878035108378,1
-2655.75281444359,-387.3951975856121,-115.47546075991369,1
-2796.0776675317356,-567.3257568724689,-150.09766750315728,1
-2751.6946265342876,-510.415913649573,-139.14708542528223,1
-3068.8928385981644,-917.1410977165249,-217.40907419618262,1
-3211.5387499305634,-1100.0478176679749,-252.60395325389607,1
-3349.032163138634,-1276.347783015146,-286.5275617463546,1
-3474.5627078925127,-1437.308444138811,-317.4995840033864,1
-3576.633708165925,-1568.188268788457,-342.6834569680413,1
-3671.0285748518854,-1689.2254249502685,-365.97340538401664,1
-3561.0376628259473,-1548.1903489693455,-338.8354607346262,1
-3805.993847974813,-1862.2837003938719,-399.2732484722903,1
-3823.8617976749442,-1885.1947536542277,-403.68178933288345,1
-3772.861942440911,-1819.8005467560095,-391.0986474807482,1
-3722.3849095132623,-1755.0767250955098,-378.6445010387862,1
-3676.423262398193,-1696.1427252432904,-367.30443109637656,1
